restaurantname,pricerange,area,food,phone,addr,postcode,quality,stay,crowdedness
ali baba,moderate,centre,lebanese,01462 432565,59 hills road city centre,c.b 2,bad,short,not busy
anatolia,moderate,centre,turkish,01223 362372,30 bridge street city centre,c.b 2,bad,short,busy
ask,cheap,centre,seafood,01223 364917,12 bridge street city centre,c.b 2,bad,long,not busy
backstreet bistro,expensive,south,gastropub,01223 306306,2 sturton street city centre,c.b 1,good,short,busy
bangkok city,expensive,centre,thai,01223 354382,24 green street city centre,c.b 2,good,long,not busy
bedouin,expensive,centre,african,01223 367660,100 mill road city centre,c.b 1,bad,long,not busy
bloomsbury restaurant,moderate,north,international,0871 942 9180,crowne plaza hotel 20 downing street,c.b 2,bad,long,not busy
caffe uno,expensive,centre,italian,01223 448620,32 bridge street city centre,,good,long,not busy
cambridge lodge restaurant,expensive,west,european,01223 355166,cambridge lodge hotel 139 huntingdon road city centre,c.b 3,bad,short,not busy
charlie chan,cheap,centre,chinese,01223 361763,regent street city centre,c.b 2,good,long,busy
chiquito restaurant bar,expensive,south,european,01223 400170,2g cambridge leisure park cherry hinton road cherry hinton,c.b 1,good,long,not busy
city stop restaurant,expensive,north,tuscan,01223 363270,cambridge city football club milton road chesterton,,bad,short,not busy
clowns cafe,moderate,centre,bistro,01223 355711,,c.b 1,good,short,busy
cocum,expensive,east,gastropub,01223 366668,71 castle street city centre,c.b 3,bad,long,not busy
cote,expensive,centre,french,01223 311053,bridge street city centre,c.b 2,bad,short,not busy
cotto,moderate,centre,british,01223 302010,183 east road city centre,c.b 1,bad,long,not busy
curry garden,expensive,centre,asian oriental,01223 302330,106 regent street city centre,,good,short,not busy
curry king,expensive,centre,seafood,01223 324351,5 jordans yard bridge street city centre,,bad,short,busy
curry prince,expensive,east,indian,01223 566388,451 newmarket road fen ditton,c.b 5,bad,short,not busy
curry queen,moderate,north,indian,,106 mill road city centre,c.b 1,bad,long,busy
da vinci pizzeria,cheap,north,traditional,01223 351707,20 milton road chesterton,c.b 4,bad,long,not busy
darrys cookhouse and wine shop,expensive,south,modern european,01223 505015,40270 king street city centre,c.b 1,bad,short,busy
de luca cucina and bar,moderate,centre,modern european,01223 356666,83 regent street,c.b 2,bad,long,busy
dojo noodle bar,expensive,centre,asian oriental,01223 363471,40210 millers yard city centre,c.b 2,good,short,not busy
don pasquale pizzeria,expensive,south,european,01223 350106,12 market hill city centre,,bad,long,busy
efes restaurant,moderate,centre,swiss,01223 500005,king street city centre,c.b 1,good,short,not busy
eraina,expensive,centre,european,01223 368786,free school lane city centre,c.b 2,bad,short,not busy
fitzbillies restaurant,expensive,centre,british,01223 352500,51 trumpington street city centre,,good,short,not busy
frankie and bennys,expensive,south,italian,01223 412430,cambridge leisure park clifton way cherry hinton,c.b 1,good,short,busy
galleria,moderate,centre,european,01223 362054,33 bridge street,c.b 2,bad,long,busy
golden house,cheap,centre,polynesian,01842 753771,12 lensfield road city centre,,bad,long,busy
golden wok,moderate,north,asian oriental,01223 350688,191 histon road chesterton,c.b 4,good,short,busy
gourmet burger kitchen,expensive,centre,north american,01223 312598,regent street city centre,c.b 2,bad,long,not busy
graffiti,moderate,north,indian,01223 277977,hotel felix whitehouse lane huntingdon road,c.b 3,bad,short,not busy
grafton hotel restaurant,expensive,east,british,01223 241387,grafton hotel 619 newmarket road fen ditton,c.b 5,bad,short,not busy
hakka,cheap,north,persian,01223 568988,milton road chesterton,c.b 4,bad,short,busy
hk fusion,expensive,centre,thai,,21 burleigh street city centre,c.b 1,good,short,not busy
hotel du vin and bistro,moderate,centre,european,01223 227330,15 - 19 trumpington street,c.b 2,good,short,busy
india house,expensive,west,indian,01223 461661,31 newnham road newnham,,good,short,not busy
j restaurant,cheap,centre,fusion,01223 307581,86 regent street city centre,c.b 2,good,long,busy
jinling noodle bar,moderate,centre,cuban,01223 566188,11 peas hill city centre,c.b 2,bad,short,busy
kohinoor,cheap,west,indian,01223 323639,74 mill road city centre,,good,short,not busy
kymmoy,expensive,centre,asian oriental,01223 311911,52 mill road city centre,c.b 1,good,long,not busy
la margherita,cheap,south,italian,01223 315232,15 magdalene street city centre,c.b 3,good,short,not busy
la mimosa,expensive,centre,mediterranean,01223 362525,thompsons lane fen ditton,c.b 5,bad,long,not busy
la raza,cheap,centre,spanish,01223 464550,4 - 6 rose crescent,c.b 2,good,short,busy
la tasca,moderate,centre,spanish,01223 464630,14 -16 bridge street,c.b 2,good,short,not busy
lan hong house,moderate,centre,thai,01223 350420,12 norfolk street city centre,,good,long,not busy
little seoul,expensive,centre,korean,01223 308681,108 regent street city centre,c.b 2,bad,short,busy
loch fyne,moderate,centre,seafood,01223 362433,the little rose 37 trumpington street,c.b 2,bad,short,busy
mahal of cambridge,cheap,centre,indian,01223 360409,3 - 5 millers yard mill lane,,bad,long,busy
maharajah tandoori restaurant,expensive,east,indian,01223 358399,41518 castle street city centre,c.b 3,bad,short,busy
meghna,moderate,north,indian,01223 727410,205 victoria road chesterton,c.b 4,good,long,not busy
meze bar restaurant,expensive,centre,turkish,,196 mill road city centre,c.b 1,good,long,not busy
